date,type,value,malware_family,severity,source
2026-02-15,sha256,cfe781129d8db1dcbfdce5fa3b62157bbd6e7a7e8b7f421a4767189463ef28e0,Crysome RAT,high,MalwareBazaar
2026-02-15,md5,4c84bff59b7e8b2df76e38466ba8b627,Crysome RAT,high,MalwareBazaar
2026-02-15,sha1,6a0c60cd5ebdf6c7cb88b066f928d2c46f811c34,Crysome RAT,high,MalwareBazaar
2026-02-15,ipv4,130.12.180.43,Crysome RAT C2,critical,analysis
2026-02-15,url,http://130.12.180.43/files/7719759462/Yd6HwRw.exe,Crysome RAT download,critical,MalwareBazaar
2026-02-15,imphash,f34d5f2d4577ed6d9ceec516c1f5a744,Crysome RAT,medium,analysis
